diff,time,res,mal,norm_score
47.12005902373996,5,0,7.11585332002374,44.76405607255296
53.35869522349772,7,0,36.88154869347086,56.0266299846726
62.955294090613435,2,1,14.326957666430259,66.10305879514411
72.92536448627168,8,1,8.118301418863144,76.57163271058526
36.39074067977158,11,0,61.63184833056072,38.21027771376016
79.66784501558003,5,1,19.269169721495444,83.65123726635903
67.53344340339632,9,1,31.249528025591434,70.91011557356613
73.4660976037299,7,1,52.19519036888105,80.81270736410289
41.367218829331904,2,0,3.818736976471815,39.29885788786531
73.69064307953604,9,0,9.010029417299496,70.00611092555924
35.276137559659304,10,0,1.3716728240614957,33.51233068167634
41.232490042740636,11,0,12.753473809947199,39.17086554060361
67.10241463472687,4,0,53.58305555207452,70.45753536646322
52.34931349405515,2,0,73.53370687020728,54.96677916875791
50.475662244598155,12,1,71.61043683921302,55.52322846905797
45.32901937244495,9,0,17.785583477652633,43.0625684038227
41.16595116692291,5,0,12.774142718606535,39.10765360857676
52.85575293748185,3,1,49.96786714943523,58.14132823123004
63.11004361303609,3,1,10.842334153132208,66.26554579368789
74.18065874678632,8,1,6.921683500856258,77.88969168412564
40.53033675169903,2,1,12.740514583048784,42.55685358928398
62.08499720025124,3,1,52.89463154026821,68.29349692027637
36.382830334934134,5,1,63.18920614401673,40.02111336842755
59.59598682145834,11,0,23.678557815574784,56.61618748038542
54.46246522741377,5,0,73.95375549067039,57.18558848878446
37.08529946052199,3,0,52.447045869041645,38.939564433548085
52.5484659871277,12,1,61.90924803199946,57.80331258584047
48.76117838323003,6,0,27.560618786815624,46.32311946406853
68.6991708783992,8,0,55.83621486402381,72.13412942231916
49.027317976473526,6,0,37.80235508374671,51.4786838752972
38.35739436367361,2,0,37.72432130145863,40.275264081857294
72.67412767777935,6,0,41.10329526786057,76.30783406166832
43.89217851047142,5,1,52.841981341683045,48.28139636151856
63.39592566309865,7,0,11.521021416140181,60.22612937994372
60.282407194063204,11,1,40.2750328608445,66.31064791346952
68.19842061648615,3,0,46.57649907221912,71.60834164731045
55.62937741285224,12,0,0.8340880569977865,52.84790854220963
72.13306451939373,10,1,41.7885015386022,79.3463709713331
36.408095005809194,10,1,19.24666494695251,38.22849975609965
44.46619451610271,12,0,14.683807178860079,42.24288479029757
47.37532676649636,10,0,4.013798710630362,45.00656042817154
77.75069305636146,4,0,38.143173386391474,81.63822770917953
73.85761754991331,2,0,66.235209280741,77.55049842740898
36.4121945434294,11,0,24.411081566954024,34.59158481625793
40.99821162857365,10,1,50.77744767525921,45.09803279143102
50.71044345793776,6,1,12.32640374180999,53.24596563083465
49.883088309027876,3,0,37.89564959128669,52.377242724479274
69.47846552612216,9,1,29.223366895211054,72.95238880242827
42.61857376748017,6,0,10.87616891985969,40.487645079106166
63.000440164873666,2,0,12.266682636739132,59.850418156629985
65.5222950699727,10,1,60.06204586875268,72.07452457696996
55.69098382874073,4,1,46.34677033718833,61.2600822116148
48.16898484950784,12,1,39.771067796534794,52.98588333445862
78.7713646421708,3,1,66.01308882576787,86.64850110638787
66.698253417622,6,1,4.137169389275705,70.0331660885031
77.0563954890581,6,1,48.217755563321695,84.76203503796391
79.83435380569207,5,0,28.928846889714812,75.84263611540747
41.14568507272594,11,0,30.117753301428362,39.08840081908964
67.88181338502142,2,0,21.654532372086795,64.48772271577035
65.99970113781815,7,1,66.61033379563607,72.59967125159997
62.342622288432395,7,0,72.27091117642101,65.45975340285402
40.25895876177451,4,1,73.14630025530275,44.28485463795196
56.972474497174424,3,0,3.3257266642121115,54.123850772315706
45.055745723598996,8,0,65.36302122644958,47.30853300977895
59.24965975008856,6,0,1.4901422560660293,56.28717676258413
65.37930232299996,2,0,37.90669970603587,68.64826743914996
37.6005360823978,10,1,17.982601180726014,39.480562886517696
67.82152678279132,3,1,6.040023688618542,71.2126031219309
36.39267078394369,12,1,69.30533615793699,40.03193786233806
79.48825493058033,5,1,12.392236160126718,83.46266767710934
67.64335099335761,11,1,9.17176965399843,71.0255185430255
39.74746157051247,9,1,39.73524502443829,43.72220772756372
63.203118451691296,10,0,8.12551909903517,60.04296252910673
45.89037743995678,11,0,26.19510852910694,43.59585856795894
59.53194580258322,12,0,44.73185632425588,62.50854309271239
58.26593881083339,10,0,30.485834180214226,55.35264187029172
55.24171558380045,11,0,14.967968447089527,52.479629804610425
77.25144843062287,7,0,6.973716634074159,73.38887600909173
57.459707114787946,6,0,54.29196053493831,60.33269247052734
52.73046418647711,12,0,65.82396317303217,55.36698739580096
73.66319779856849,11,0,74.10183205515025,77.34635768849691
54.880319902444,12,1,32.3135331092964,57.6243358975662
78.89554430120894,4,0,11.627244559736235,74.9507670861485
76.75223255620465,7,0,33.0959787104539,72.91462092839441
36.72006335177227,8,1,23.110180204052067,38.55606651936088
40.69614069346872,10,0,40.67977353349346,42.730947728142155
59.751922917330816,12,0,57.33756087355025,62.739519063197356
75.53685512584852,11,1,2.135114102577776,79.31369788214094
63.170324378943675,5,0,12.328078953276195,60.01180815999649
41.17068606807659,4,0,17.952454907286526,39.11215176467276
75.36168332186901,12,0,13.244889008788519,71.59359915577556
51.67140093434216,11,1,46.41121140851486,56.83854102777637
66.61587622449852,6,0,60.77105256684156,69.94667003572344
52.2791527770907,7,1,56.648782227067706,57.507068054799774
76.67843573158308,6,0,64.35818420061305,80.51235751816223
64.55591858017172,3,0,38.058437768558285,67.7837145091803
49.4847391729227,8,1,7.356971221804725,51.95897613156884
69.8565603676243,7,1,68.87180104102111,76.84221640438673
36.57657018837168,8,0,71.216117481176,38.40539869779027
52.77021544463519,5,0,71.71241709507225,55.40872621686695
61.359021490132356,7,0,2.569260882532862,58.29107041562574
64.9056387858043,8,1,67.22217334650266,71.39620266438473
70.74887335662227,10,0,21.153201021907716,67.21142968879116
44.29344957820694,2,0,58.53751075960197,46.50812205711728
69.45891840478323,10,1,54.74670823794549,76.40481024526156
59.11680288321169,11,0,61.37197893291924,62.07264302737227
